1,-32.8
2,-35.24
3,-32.73
4,-35.49
5,-38.45
6,-34.29
7,-33.5
8,-37.11
9,-32.51
10,-34.9
11,-33.06
12,-35.91
13,-35.68
14,-39.26
15,-32.73
16,-36.84
17,-33.98
18,-34.47
19,-34.49
20,-32.74
21,-34.0
22,-30.36
23,-33.12
24,-33.41
25,-35.56
26,-33.64
27,-32.76
28,-35.63
29,-31.38
30,-30.87
31,-31.69
32,-32.34
33,-32.43
34,-32.57
35,-34.43
36,-34.41
37,-36.15
38,-33.23
39,-34.74
40,-34.04
41,-32.18
42,-32.99
43,-34.81
44,-32.78
45,-33.09
46,-31.4
47,-37.28
48,-32.04
49,-32.45
50,-36.18
51,-34.16
52,-33.67
53,-34.42
54,-36.9
55,-32.1
56,-34.53
57,-34.73
58,-33.81
59,-33.47
60,-32.48
61,-31.76
62,-30.01
63,-33.36
64,-31.33
65,-33.93
66,-31.73
67,-34.86
68,-30.63
69,-31.14
70,-33.22
71,-33.13
72,-30.76
73,-34.1
74,-34.64
75,-33.47
76,-33.26
77,-36.43
78,-35.4
79,-32.25
80,-31.42
81,-33.64
82,-33.88
83,-33.83
84,-32.74
85,-34.02
86,-31.3
87,-32.14
88,-34.68
89,-33.77
90,-34.75
91,-29.46
92,-31.65
93,-30.49
94,-34.23
95,-34.62
96,-35.1
97,-31.06
98,-30.97
99,-32.97
100,-31.49
101,-33.34
102,-31.63
103,-31.43
104,-33.2
105,-34.87
106,-30.07
107,-32.59
108,-33.88
109,-32.23
110,-35.94
111,-31.1
112,-31.18
113,-34.9
114,-34.19
115,-33.39
116,-33.93
117,-31.73
118,-31.43
119,-36.54
120,-33.46
121,-33.7
122,-30.04
123,-33.85
124,-34.02
125,-35.05
126,-31.86
127,-33.49
128,-32.7
129,-36.72
130,-34.33
131,-33.45
132,-35.36
133,-33.32
134,-31.06
135,-34.15
136,-32.85
137,-35.02
138,-34.76
139,-32.02
140,-35.34
141,-36.79
142,-35.27
143,-31.47
144,-31.49
145,-33.02
146,-35.08
147,-30.66
148,-34.78
149,-33.01
150,-29.73
151,-31.09
152,-30.7
153,-31.32
154,-30.2
155,-31.4
156,-31.29
157,-29.98
158,-34.53
159,-31.02
160,-32.27
161,-30.42
162,-34.16
163,-31.09
164,-29.34
165,-29.95
166,-32.09
167,-34.24
168,-32.15
169,-33.58
170,-33.02
171,-32.35
172,-33.51
173,-33.55
174,-32.7
175,-31.12
176,-33.18
177,-33.12
178,-32.42
179,-34.44
180,-31.5
181,-34.44
